logprob,Id,Ti,L,Y,D,CC,ECC,RId,AA,F,J,FP
-17.824,2011551841,taking computer vision aloft archaeological three dimensional reconstructions from aerial photographs with photoscan,en,2011,2011-01-01,327,327,"2104974755,1998327661,2048128407,2034392969,2292868897",geert verhoeven|2169669433|1,structure from motion|146159030|software|2777904410|remote sensing|62649853|polygon mesh|31487907|point cloud|131979681|geology|127313418|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645|aerial photography|133214962,archaeological prospection,67
-18.078,2042436931,advances in multispectral and hyperspectral imaging for archaeology and art conservation,en,2012,2012-02-01,221,221,"2147555557,2150969685,229472839,2067483150,609694675,1658108565,2010797000,1985051078,2042444363,2006839263,2149305612,2052244586,2565289624,1992593992,971238915,2260439637,2040580870,2031253668,2121338139,654142706,2097337867,2030355043,2045585830,2077292309,2072070305,2015104646,2145924583,2093019223,2151898401,1967373413,2257831374,2132664396,1974991040,2049454686,2053079407,2053376794,2152783086,2291959444,2006857234,2091617369,2092622957,2093930219,2084349363,2086632677,2000706483,2083037472,2058260581,2087742818,2000203874,2027205959,1989662372,1964474266,2046324792,1990981204,2069453651,1971776915,120622613,2032083999,2084613849,1980322077,2052141911,2034691021,2082071958,1984244085,2017465979,2079654628,2067077361,2085116013,2764863492,2035524116,2284239051,2088612131,2105334570",haida liang|2094774220|1,spectral imaging|3232514|remote sensing|62649853|reflectivity|108597893|optical coherence tomography|2778818243|multispectral image|173163844|image processing|9417928|hyperspectral imaging|159078339|conservation|75887256|chemistry|185592680|archaeology|166957645,applied physics a,309
-18.139,1978602984,from deposit to point cloud a study of low cost computer vision approaches for the straightforward documentation of archaeological excavations,en,2011,2011-12-21,172,172,"2151103935,2033819227,2104974755,2125186487,2160014001,404831753,2011551841,2510850769,2001120275,1989791028,620760051,2034392969,2127688310,2187760920,2326671280,2161071672",michael doneus|2077736714|1|geert verhoeven|2169669433|2|martin fera|2127616844|3|christian briese|1834339306|4|matthias kucera|2195221789|5|wolfgang neubauer|2106824575|6,total station|168498295|structure from motion|146159030|software|2777904410|remote sensing|62649853|point cloud|131979681|orthophoto|82789328|excavation|31858485|documentation|56666940|digital camera|2779705975|computer vision|31972630|computer science|41008148|artificial intelligence|154945302|archaeology|166957645,geoinformatics fce ctu,81
-18.322,2010502171,mapping by matching a computer vision based approach to fast and accurate georeferencing of archaeological aerial photographs,en,2012,2012-07-01,195,195,"2151103935,2033819227,2104974755,2156598602,2125186487,2085261163,2160014001,2080629029,2011551841,1521050458,1978602984,2510850769,2117331827,2173369462,2001120275,1978845392,2132054422,1582209946,2026593617,1964697192,1497744166,2076125099,2034392969,158261550,35445800,2301383503,2118803519,1676903773,2052195531,2130879734,2020970118,2038220201,16242746,1968506954,1577628537,1983633335,2340314047,2018190029,2566657588,2489142401,613825527,589960851,2032244232,2318184102",geert verhoeven|2169669433|1|geert verhoeven|2169669433|1|michael doneus|2077736714|2|christian briese|1834339306|3|frank vermeulen|2112772285|4,structure from motion|146159030|software|2777904410|remote sensing|62649853|photogrammetry|117455697|orthophoto|82789328|geology|127313418|distortion|115225779|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645|aerial survey|176262533|aerial photography|133214962|aerial archaeology|2779668730,j archaeol sci,2060
-18.334,2083281122,archaeological prospection of forested areas using full waveform airborne laser scanning,en,2008,2008-04-01,234,234,"2009214675,2010221273,2094605604,2133029430,159618849,2202777762,2473389152,59966576,2170673946,2323766051,2143727411,3734705,2152087413,2788746514,2495458650,2083511573,25787060,2130879734,2466579665,32256852",michael doneus|2077736714|1|christian briese|1834339306|2|martin fera|2127616844|3|martin janner|2550453853|4,waveform|197424946|vegetation|172427765|topographic map|55555194|terrain|161840515|remote sensing|62649853|lidar|51399673|laser scanning|141349535|geology|127313418|elevation|142816520|digital elevation model|181843262|archaeology|166957645,j archaeol sci,882
-18.428,2047834271,developing a documentation system for desert palaces in jordan using 3d laser scanning and digital photogrammetry,en,2009,2009-02-01,173,173,"2168583588,1573748084,1992363158,2052183736,13570821,2137293535,2096723932,2344655470,2145257659,1553738649,2015957662,1985401225,1585191692,2156009545,2069607233,276755589,88955232,1517107226,2170553341,2014613549,2079930122,650718941",sharaf alkheder|2892748081|1|yahya alshawabkeh|2021673803|2|norbert haala|101171190|3,spatial analysis|159620131|remote sensing|62649853|photogrammetry|117455697|laser scanning|141349535|geology|127313418|documentation|56666940|digital camera|2779705975|data collection|133462117|data acquisition|163985040|computer vision|31972630|artificial intelligence|154945302|archaeology|166957645|3d modeling|2777897806,j archaeol sci,537
-18.591,40619706,gpr remote sensing in archaeology,en@@@ja,2013,2013-01-01,143,143,,dean goodman|2121269922|1|salvatore piro|2197783474|2,remote sensing|62649853|radar|554190296|overlay|136085584|interpolation|17378031|ground penetrating radar|71813955|geography|205649164|archaeology|166957645,,
-18.615,1998327661,providing an archaeological bird s eye view an overall picture of ground based means to execute low altitude aerial photography laap in archaeology,en,2009,2009-10-01,125,125,"186669090,2059677982,2048128407,1496823833,2140558412,2026593617,2141998175,2044620475,1641956047,2051044393,2164781619,2063290920,2095105537,2029605798,2068837630,39005036,2314356346,1804040689,2172646759,2054735486,2307822330,2053916979,2503136344,2079667412,2185895460,2279012844,2055640411,1505716531,2006477706,2080124997,2083885969,88523970,2019465998,2797823863,1508408404,2316556583,2315884007,2045599099,268683196,2213894662,1936999527,2007450311,1541736187,1995139045,1832547862,2299546333,2319912637,352388643,2298497692,2110908693,2057261315,2186235964,1949037259,2333579317,2742239830,2524996613,2527014859,2521865929,2510490913,1508004096,2060361936,2799036140,2126549801,1179256938,2169473607,2040527981,2316681596,45730546,1564817372,1488293973,2017798011,2796566677,1485872325,2056266804,2465970876,2064294724,2041724473,95964870,2201966050,2023830769",geert verhoeven|2169669433|1,remote sensing|62649853|ranging|115051666|geology|127313418|blimp|67104047|archaeology|166957645|altitude|29403383|aerial survey|176262533|aerial photography|133214962|aerial archaeology|2779668730,archaeological prospection,233
-18.638,2164345547,ground penetrating radar a modern three dimensional prospection method,en,2003,2003-10-01,192,192,"1515543311,1607795755,2069225890,1978845392,1972044994,1513488900,2121669980,2137993924,2110922808,2005213235,2028089885,2167268951,2006825277,2039426298,2010606670,1968773411,2083315790,2123440642,2029192158,2155742724,2619563550,2246592505",jurg leckebusch|2071346827|1,remote sensing|62649853|ranging|115051666|radar|554190296|prospection|2778426922|information system|180198813|horizontal and vertical|59218005|ground penetrating radar|71813955|geology|127313418|data processing|138827492|attenuation|184652730|archaeology|166957645,archaeological prospection,213
-18.645,1932825008,the stonehenge hidden landscapes project,en,2012,2012-04-01,69,69,2152777930,chris gaffney|2150497552|1|vince gaffney|2085043130|2|wolfgang neubauer|2106824575|3|eamonn baldwin|2178446697|4|henry chapman|2159883538|5|paul garwood|1317878389|6|helen moulden|2052709406|7|tom sparrow|2151428394|8|richard bates|2292027454|9|klaus locker|2107836043|10|alois hinterleitner|2433864649|11|immo trinks|2223747502|12|erich nau|1919392508|13|thomas zitz|1192561553|14|sebastian floery|1965404890|15|geert verhoeven|2169669433|16|michael doneus|2077736714|17,visualization|36464697|remote sensing|62649853|ground penetrating radar|71813955|geology|127313418|data cube|78168278|archaeology|166957645,archaeological prospection,147
